City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Gorontalo,ID,76.78,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
212,Ndele,CF,76.59,broken clouds,8.4109,20.6473,
213,Mayakonda,IN,69.28,few clouds,14.2833,76.0833,
214,Nabire,ID,76.75,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
215,Lolodorf,CM,71.82,broken clouds,3.2333,10.7333,Auberge La Decouverte
216,Saint-Pierre,RE,74.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
217,Sadovo,BG,40.05,clear sky,42.1333,24.9333,"Къща за гости ""Сюлевски"" Садаво"
218,Bosaso,SO,72.93,clear sky,11.2842,49.1816,Red Sea Hotel
219,Juneau,US,34.84,snow,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
220,La Seyne-Sur-Mer,FR,46.92,few clouds,43.0982,5.8847,La Frégate
221,Volno-Nadezhdinskoye,RU,11.68,overcast clouds,43.3833,131.9917,"Stoyanka Ooo ""Aml"""
223,Mabaruma,GY,75.54,broken clouds,8.2,-59.7833,Monty Brooms Guest House
224,Bow Island,CA,43.18,clear sky,49.8668,-111.3684,Silver Sage Motel
225,Ixtapa,MX,90.81,clear sky,20.7,-105.2,Hotel Plaza Providencia
226,Noumea,NC,81.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
227,Faanui,PF,81.34,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
228,Vardo,NO,10.6,few clouds,70.3705,31.1107,Vardø Hotel AS
229,Asau,RO,31.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
230,Binzhou,CN,40.93,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
231,Shingu,JP,44.92,clear sky,33.7333,135.9833,Shingu UI Hotel
232,Cairns,AU,81.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
233,Port Angeles,US,48.06,scattered clouds,48.1181,-123.4307,Red Lion Hotel Port Angeles Harbor
234,Longyearbyen,SJ,26.44,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
235,Otane,NZ,73.38,scattered clouds,-39.8833,176.6333,Ludlow Farmstay
237,Sorland,NO,28.26,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
238,Sainte-Savine,FR,34.48,clear sky,48.2964,4.0464,Le Royal
239,Maniitsoq,GL,29.37,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
240,Pimentel,PE,73.69,few clouds,-6.8367,-79.9342,Casona Del Muelle
241,Malinovskiy,RU,8.22,overcast clouds,61.1953,62.8397,
242,Husavik,IS,17.51,scattered clouds,66.0449,-17.3389,Bjarnabúð
243,Port Blair,IN,78.89,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
244,Garowe,SO,69.3,overcast clouds,8.4054,48.4845,Curubo Hotel
245,Emerald,AU,71.74,clear sky,-23.5333,148.1667,The Irish Village
246,Brenham,US,76.64,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
247,Kralendijk,BQ,84.18,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
248,Lazurne,UA,47.01,overcast clouds,46.084,32.5295,New Manna Hostel
249,Amealco,MX,68.16,clear sky,20.1833,-100.15,Hotel Jose Maria
250,Huarmey,PE,71.44,broken clouds,-10.0681,-78.1522,Hotel Miramar
251,Panjab,AF,23.83,clear sky,34.388,67.0233,
252,Abnub,EG,57.42,clear sky,27.2696,31.1511,Romany Adly Gad
253,Awjilah,LY,56.71,clear sky,29.1081,21.2869,
254,Rawson,AR,56.52,clear sky,-43.3002,-65.1023,Hosteria Sampedro
255,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
256,Hasaki,JP,46.8,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
257,Mauganj,IN,59.86,clear sky,24.6833,81.8833,Hotel Shagun Palace & Marriage Garden
258,Djambala,CG,70.48,broken clouds,-2.5447,14.7533,Hotel Ravin D'or
259,Coihaique,CL,75.15,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
260,Gushikawa,JP,65.43,scattered clouds,26.3544,127.8686,Kirari Guest House
261,Ponta Do Sol,PT,64.13,scattered clouds,32.6667,-17.1,Hotel do Campo
262,Seoul,KR,36.84,mist,37.5683,126.9778,Lotte Hotel Seoul
263,Pochutla,MX,89.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
264,Taltal,CL,67.23,scattered clouds,-25.4,-70.4833,Residencial Karime
265,Gat,IL,59.77,overcast clouds,31.61,34.7642,OlusHome
266,Bataipora,BR,86.79,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
267,Fairbanks,US,10.74,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
268,Ayan,RU,14.86,broken clouds,56.45,138.1667,Gostinitsa
269,Darhan,MN,9.19,overcast clouds,49.4867,105.9228,Buudai Hotel
270,Xuanwu,CN,50.81,overcast clouds,32.069,118.8138,东方珍珠饭店
272,Dingle,PH,75.9,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
273,Bull Savanna,JM,79.72,scattered clouds,17.8868,-77.5902,Big Red's
274,Sambava,MG,74.82,light rain,-14.2667,50.1667,Melrose
275,Kenai,US,15.85,light snow,60.5544,-151.2583,Aspen Extended Stay Suites
276,Yuanping,CN,32.07,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
