City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Avarua,CK,2021-12-04 00:13:31,-21.2078,-159.775,82.45,74,75,8.05
134,San Andres,CO,2021-12-04 00:19:59,12.5847,-81.7006,82.42,78,90,13.8
135,Chernyshevskiy,RU,2021-12-04 00:20:00,63.0128,112.4714,9.7,96,100,2.17
136,Nizhnevartovsk,RU,2021-12-04 00:20:00,60.9344,76.5531,23.02,93,75,8.95
137,Araouane,ML,2021-12-04 00:21:00,18.9048,-3.5265,70.18,17,92,10.98
138,Daru,PG,2021-12-04 00:21:01,-9.0763,143.2092,83.71,79,100,6.85
139,Tuktoyaktuk,CA,2021-12-04 00:21:01,69.4541,-133.0374,-22.0,69,20,9.22
140,San Quintin,MX,2021-12-04 00:21:01,30.4833,-115.95,61.66,79,3,12.17
141,Qaanaaq,GL,2021-12-04 00:14:44,77.484,-69.3632,9.1,93,100,2.84
142,La Rioja,ES,2021-12-04 00:21:02,42.25,-2.5,42.04,88,39,8.14
143,San Patricio,US,2021-12-04 00:21:02,28.017,-97.5169,75.61,77,1,9.98
144,Paragominas,BR,2021-12-04 00:21:02,-2.9667,-47.4833,73.8,95,99,3.04
145,Kodiak,US,2021-12-04 00:21:03,57.79,-152.4072,20.71,68,1,0.0
146,Mayya,RU,2021-12-04 00:21:03,61.7333,130.2811,-43.69,98,35,5.19
147,Acapulco,MX,2021-12-04 00:14:47,16.8634,-99.8901,84.02,74,40,9.22
148,Porosozero,RU,2021-12-04 00:21:04,62.7191,32.727,7.5,85,99,12.66
149,East London,ZA,2021-12-04 00:13:42,-33.0153,27.9116,64.6,76,99,7.7
150,Huarmey,PE,2021-12-04 00:21:04,-10.0681,-78.1522,67.84,83,63,10.54
151,Dikson,RU,2021-12-04 00:21:05,73.5069,80.5464,-22.09,95,98,13.73
152,Redmond,US,2021-12-04 00:21:05,47.674,-122.1215,43.3,83,100,1.01
153,Hyeres,FR,2021-12-04 00:21:05,43.1167,6.1167,47.68,53,0,1.14
154,Haverfordwest,GB,2021-12-04 00:21:06,51.8017,-4.9691,48.16,94,100,3.0
155,Zyryanka,RU,2021-12-04 00:21:06,65.75,150.85,-14.87,98,100,7.05
156,Berlevag,NO,2021-12-04 00:21:07,70.8578,29.0864,24.39,73,54,10.38
157,Oranjestad,AW,2021-12-04 00:21:07,12.524,-70.027,81.3,82,100,19.71
158,Fenoarivo,MG,2021-12-04 00:21:07,-18.933,47.4354,64.47,82,75,5.75
159,Sioux Lookout,CA,2021-12-04 00:21:07,50.1001,-91.917,26.98,93,90,9.22
160,Dehloran,IR,2021-12-04 00:21:08,32.6941,47.2679,57.34,37,1,2.62
161,Saint Anthony,US,2021-12-04 00:21:08,45.0205,-93.218,38.93,85,75,1.99
162,Dobric,RS,2021-12-04 00:21:08,44.7019,19.5814,40.08,75,98,3.74
163,Wagar,SD,2021-12-04 00:21:09,16.1525,36.2032,72.82,73,0,12.28
